Designator,Footprint,Quantity,Value,LCSC Part #
+3V1,TestPoint_Pad_D1.0mm,1,+3V3,
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna,
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery_Cell,
BTN1,SW_Push_1P1T_XKB_TS-1187A,1,BTN,C318884
"C1, C12, C13, C18, C21, C26, C3, C4, C6, C7",0402,10,10uF,C15525
"C10, C15, C24",0402,3,1uF,C52923
"C11, C14, C16, C19, C2, C23, C25, C5",0402,8,0.1uF,C1525
C17,0402,1,10nF,C15195
"C20, DNP1",0402,2,15pF,C1548
"C22, L3",0402,2,DNP,
"C27, C28, C8, C9",0402,4,12pF,C1547
D1,D_SMA,1,D_SCHOTTKY,
"D2, D3, D4",0603,3,LED,C2286
D5,D_SMA,1,SS14,C2480
FLASH1,SW_Push_1P1T_XKB_TS-1187A,1,Flash,C318884
GND1,TestPoint_Pad_D1.0mm,1,GND,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,C19274016
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,SOLAR_IN,
J3,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J4, J5",PinHeader_1x18_P2.54mm_Vertical,2,Conn_01x18_Pin,
J6,PinHeader_1x03_P2.54mm_Vertical,1,BOOST,
L1,0402,1,2nH,C77103
L2,0402,1,4.7nH,C13595
Q1,SOT-23,1,AO3401A,C15127
"R1, R2",0402,2,5.1K,C25905
"R10, R11, R12, R13, R5, R9",0402,6,0R,C17168
"R14, R15, R8",0402,3,470R,C25117
R16,0402,1,2K,C4109
"R17, R18, R21",0402,3,10K,C25744
"R19, R20",0402,2,200K,C25764
R22,0402,1,100K,C25741
R23,0603,1,1.2k,
"R3, R4",0402,2,33R,C25105
R6,0402,1,DNP,
R7,0402,1,1K,C11702
RESET1,SW_Push_1P1T_XKB_TS-1187A,1,Reset,C318884
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3,C2913194
U3,SOT-23-5,1,MCP73831-2-OT,C7472804
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,40MHz(10ppm),C5261125
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,C32346
